Timeperiod,Direction,WeekDay,Hour,Count
Lockdown,From City,Saturday,11,30.818181818181817
Lockdown,From City,Saturday,12,27.545454545454547
Lockdown,From City,Saturday,13,30.09090909090909
Lockdown,From City,Saturday,14,39.54545454545455
Lockdown,From City,Saturday,15,42.18181818181818
Lockdown,From City,Saturday,16,32.36363636363637
Lockdown,From City,Saturday,17,15.636363636363637
Lockdown,From City,Saturday,18,4.090909090909091
Lockdown,From City,Saturday,19,1.0909090909090908
Lockdown,From City,Saturday,20,0.45454545454545453
Lockdown,From City,Saturday,21,0.09090909090909091
Lockdown,From City,Saturday,22,0.09090909090909091
Lockdown,From City,Saturday,23,0.09090909090909091
Lockdown,To City,Sunday,0,0
Lockdown,To City,Sunday,1,0
Lockdown,To City,Sunday,2,0
Lockdown,To City,Sunday,3,0
Lockdown,To City,Sunday,4,0
Lockdown,To City,Sunday,5,0
Lockdown,To City,Sunday,6,0.6363636363636364
Lockdown,To City,Sunday,7,5.636363636363637
Lockdown,To City,Sunday,8,14.363636363636363
Lockdown,To City,Sunday,9,19.818181818181817
Lockdown,To City,Sunday,10,31.727272727272727
Lockdown,To City,Sunday,11,42.54545454545455
Lockdown,To City,Sunday,12,39.90909090909091
Lockdown,To City,Sunday,13,26.90909090909091
Lockdown,To City,Sunday,14,37.63636363636363
Lockdown,To City,Sunday,15,39.72727272727273
Lockdown,To City,Sunday,16,35.63636363636363
Lockdown,To City,Sunday,17,17.09090909090909
Lockdown,To City,Sunday,18,5.909090909090909
Lockdown,To City,Sunday,19,1.0909090909090908
Lockdown,To City,Sunday,20,0.45454545454545453
Lockdown,To City,Sunday,21,0.2727272727272727
Lockdown,To City,Sunday,22,0.36363636363636365
Lockdown,To City,Sunday,23,0.09090909090909091
Lockdown,To City,Monday,0,0
Lockdown,To City,Monday,1,0
Lockdown,To City,Monday,2,0
Lockdown,To City,Monday,3,0
Lockdown,To City,Monday,4,0
Lockdown,To City,Monday,5,0
Lockdown,To City,Monday,6,1.1818181818181819
Lockdown,To City,Monday,7,5.2727272727272725
Lockdown,To City,Monday,8,8.818181818181818
Lockdown,To City,Monday,9,10.727272727272727
Lockdown,To City,Monday,10,14.090909090909092
Lockdown,To City,Monday,11,14.818181818181818
Lockdown,To City,Monday,12,15.727272727272727
Lockdown,To City,Monday,13,13.727272727272727
Lockdown,To City,Monday,14,25.181818181818183
Lockdown,To City,Monday,15,24.545454545454547
Lockdown,To City,Monday,16,29.818181818181817
Lockdown,To City,Monday,17,22.363636363636363
Lockdown,To City,Monday,18,6.545454545454546
Lockdown,To City,Monday,19,1.2727272727272727
Lockdown,To City,Monday,20,0.9090909090909091
Lockdown,To City,Monday,21,1
Lockdown,To City,Monday,22,1
Lockdown,To City,Monday,23,0
Lockdown,To City,Tuesday,0,0
Lockdown,To City,Tuesday,1,0
Lockdown,To City,Tuesday,2,0
Lockdown,To City,Tuesday,3,0
Lockdown,To City,Tuesday,4,0
Lockdown,To City,Tuesday,5,0
Lockdown,To City,Tuesday,6,1.2
Lockdown,To City,Tuesday,7,6.3
Lockdown,To City,Tuesday,8,8.6
Lockdown,To City,Tuesday,9,10.5
Lockdown,To City,Tuesday,10,10.2
Lockdown,To City,Tuesday,11,16.7
Lockdown,To City,Tuesday,12,17.6
Lockdown,To City,Tuesday,13,15.9
Lockdown,To City,Tuesday,14,24.7
Lockdown,To City,Tuesday,15,31.8
Lockdown,To City,Tuesday,16,43.4
Lockdown,To City,Tuesday,17,28.4
Lockdown,To City,Tuesday,18,7.5
Lockdown,To City,Tuesday,19,2.7
Lockdown,To City,Tuesday,20,1
Lockdown,To City,Tuesday,21,1.5
Lockdown,To City,Tuesday,22,1.5
Lockdown,To City,Tuesday,23,0
Lockdown,To City,Wednesday,0,0.1
Lockdown,To City,Wednesday,1,0.2
Lockdown,To City,Wednesday,2,0
Lockdown,To City,Wednesday,3,0
Lockdown,To City,Wednesday,4,0
Lockdown,To City,Wednesday,5,0
Lockdown,To City,Wednesday,6,1.4
Lockdown,To City,Wednesday,7,6.6
Lockdown,To City,Wednesday,8,9.6
Lockdown,To City,Wednesday,9,11
Lockdown,To City,Wednesday,10,17
Lockdown,To City,Wednesday,11,18.5
Lockdown,To City,Wednesday,12,21.4
Lockdown,To City,Wednesday,13,19
Lockdown,To City,Wednesday,14,30.5
Lockdown,To City,Wednesday,15,33.1
Lockdown,To City,Wednesday,16,41.1
Lockdown,To City,Wednesday,17,31.8
Lockdown,To City,Wednesday,18,9.3
Lockdown,To City,Wednesday,19,3.9
Lockdown,To City,Wednesday,20,1.4
Lockdown,To City,Wednesday,21,1.8
Lockdown,To City,Wednesday,22,1.2
Lockdown,To City,Wednesday,23,0.1
Lockdown,To City,Thursday,0,0
Lockdown,To City,Thursday,1,0
Lockdown,To City,Thursday,2,0
Lockdown,To City,Thursday,3,0
Lockdown,To City,Thursday,4,0
Lockdown,To City,Thursday,5,0.09090909090909091
Lockdown,To City,Thursday,6,1
Lockdown,To City,Thursday,7,6.636363636363637
Lockdown,To City,Thursday,8,9.454545454545455
Lockdown,To City,Thursday,9,11.818181818181818
Lockdown,To City,Thursday,10,12.636363636363637
Lockdown,To City,Thursday,11,17.181818181818183
Lockdown,To City,Thursday,12,17.181818181818183
Lockdown,To City,Thursday,13,14.272727272727273
Lockdown,To City,Thursday,14,19.181818181818183
Lockdown,To City,Thursday,15,23.636363636363637
Lockdown,To City,Thursday,16,33
Lockdown,To City,Thursday,17,24.545454545454547
Lockdown,To City,Thursday,18,7.636363636363637
Lockdown,To City,Thursday,19,3.909090909090909
Lockdown,To City,Thursday,20,1
Lockdown,To City,Thursday,21,1
Lockdown,To City,Thursday,22,1.1818181818181819
Lockdown,To City,Thursday,23,0.2727272727272727
Lockdown,To City,Friday,0,0
Lockdown,To City,Friday,1,0.09090909090909091
Lockdown,To City,Friday,2,0
Lockdown,To City,Friday,3,0
Lockdown,To City,Friday,4,0.18181818181818182
Lockdown,To City,Friday,5,0.09090909090909091
Lockdown,To City,Friday,6,1.2727272727272727
Lockdown,To City,Friday,7,5.7272727272727275
Lockdown,To City,Friday,8,9.727272727272727
Lockdown,To City,Friday,9,12.818181818181818
Lockdown,To City,Friday,10,14.727272727272727
Lockdown,To City,Friday,11,14.727272727272727
Lockdown,To City,Friday,12,19.181818181818183
Lockdown,To City,Friday,13,19.181818181818183
Lockdown,To City,Friday,14,26.09090909090909
Lockdown,To City,Friday,15,28.181818181818183
Lockdown,To City,Friday,16,35.81818181818182
Lockdown,To City,Friday,17,20.454545454545453
Lockdown,To City,Friday,18,6.090909090909091
Lockdown,To City,Friday,19,2.8181818181818183
Lockdown,To City,Friday,20,1.1818181818181819
Lockdown,To City,Friday,21,0.6363636363636364
Lockdown,To City,Friday,22,1.0909090909090908
Lockdown,To City,Friday,23,0.2727272727272727
Lockdown,To City,Saturday,0,0.18181818181818182
Lockdown,To City,Saturday,1,0
Lockdown,To City,Saturday,2,0
Lockdown,To City,Saturday,3,0.09090909090909091
Lockdown,To City,Saturday,4,0
Lockdown,To City,Saturday,5,0
Lockdown,To City,Saturday,6,1.1818181818181819
Lockdown,To City,Saturday,7,5
Lockdown,To City,Saturday,8,12.272727272727273
Lockdown,To City,Saturday,9,19.09090909090909
Lockdown,To City,Saturday,10,23.545454545454547
Lockdown,To City,Saturday,11,29.90909090909091
Lockdown,To City,Saturday,12,26.272727272727273
Lockdown,To City,Saturday,13,26
Lockdown,To City,Saturday,14,31.454545454545453
Lockdown,To City,Saturday,15,35.18181818181818
Lockdown,To City,Saturday,16,32.54545454545455
Lockdown,To City,Saturday,17,22.272727272727273
